pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
154144,Karen Black,1939,7,1,2013,8,8,74
2781385,Jessica Cleaves,1948,12,10,2014,5,2,65
34939722,Hannah Cohen,1986,10,25,1986,10,25,0
1150960,Sis Cunningham,1909,2,19,2004,6,27,95
3997868,Karen Dalton (singer),1937,7,19,1993,3,19,55
2115879,Mimi Farina,1945,4,30,2001,7,18,56
38824169,Maxine Feldman,1945,12,26,2007,8,17,61
50350,Ella Fitzgerald,1917,4,25,1996,6,15,79
2453848,Debbie Friedman,1951,2,23,2011,1,9,59
4008625,Ellie Greenwich,1940,10,23,2009,8,26,68
30963890,Christina Grimmie,1994,3,12,2016,6,10,22
2061917,Puff Johnson,1972,10,10,2013,6,24,40
35425151,Coco Jones,2016,3,2,1273,9,23,-743
16245,Janis Joplin,1943,1,19,1970,10,4,27
2369316,La Lupe,1939,12,23,1992,2,29,52
8830123,Lillian Lux,1918,6,20,2005,6,11,86
271181,Tammy Faye Messner,1942,3,7,2007,7,20,65
2425484,Lee Morse,1897,11,30,1954,12,16,57
344017,Laura Nyro,1947,10,18,1997,4,8,49
43019594,Brianna Lea Pruett,1983,1,18,2015,9,2,32
18491757,Katie Reider,1978,5,23,2008,7,14,30
1432489,Malvina Reynolds,1900,8,23,1978,3,17,77
1847124,Judee Sill,1944,10,7,1979,11,23,35
2233142,Phoebe Snow,1950,7,17,2011,4,26,60
149561,Donna Summer,1948,12,31,2012,5,17,63
1043481,Mary Travers,1936,11,9,2009,9,16,72
7534895,Albertina Walker,1929,8,29,2010,10,8,81
1111730,Sippie Wallace,1898,11,1,1986,11,1,88
3858275,Meri Wilson,1949,6,15,2002,12,28,53
1236563,Kate Wolf,1942,1,27,1986,12,10,44
