pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
6226053,Beverly Aadland,1942,9,16,2010,1,5,67
2144,Aaliyah,1979,1,16,2001,8,25,22
1964878,Angela Aames,1956,2,27,1988,11,27,32
10535607,Dorothy Abbott,1920,12,16,1968,12,15,47
1111265,Jean Acker,1893,10,23,1978,8,16,84
2181436,Bettye Ackerman,1924,2,28,2006,11,1,82
923500,Acquanetta,1921,7,17,2004,8,16,83
22969941,Eadie Adams,1907,8,8,1983,3,30,75
28897167,Lillian Adams,1922,5,13,2011,5,25,89
2977152,Poni Adams,1921,8,7,2014,5,21,92
44829419,Stella Adams,1883,4,24,1961,9,17,78
13383038,Nancy Addison,1946,3,21,2002,6,18,56
1503083,Celia Adler,1889,12,6,1979,1,31,89
1502866,Sara Adler,1858,5,26,1953,4,28,94
843532,Stella Adler,1901,2,10,1992,12,21,91
1141212,Iris Adrian,1912,5,29,1994,9,17,82
8725021,Aarthi Agarwal,1984,3,5,2015,6,6,31
37683419,Peggy Ahern,1917,3,19,2012,10,24,95
16880471,Mary Ainslee,1919,10,12,1991,11,1,72
5048325,Helen Ainsworth,1901,10,10,1961,8,18,59
30092432,Maria Alba,1910,3,19,1999,10,26,89
2307484,Mabel Albertson,1901,7,24,1982,9,28,81
7094765,Mary Alden,1883,6,18,1946,7,2,63
13583490,Kay Aldridge,1917,7,9,1995,1,12,77
18700830,Katharine Alexander,1898,9,22,1981,1,10,82
3596591,Maud Allan,1873,8,27,1956,10,7,83
30071389,Gia Allemand,1983,12,20,2013,8,14,29
18384209,Barbara Jo Allen,1906,9,2,1974,9,14,68
2290433,Elizabeth Allen (actress),1929,1,25,2006,9,19,77
70014,Gracie Allen,1895,7,26,1964,8,27,69
47271720,Judith Allen,1911,2,8,1996,10,5,85
20067764,Maude Allen,1879,11,30,1956,11,7,76
12486047,Phyllis Allen,1861,11,25,1938,3,26,76
1773583,Sandy Allen,1955,6,18,2008,8,13,53
4376867,Sheila Matthews Allen,1929,2,2,2013,11,15,84
7617384,Sara Allgood,1879,10,15,1950,9,13,70
10102782,Elvia Allman,1904,9,19,1992,3,6,87
17378235,Astrid Allwyn,1905,11,27,1978,3,31,72
205966,June Allyson,1917,10,7,2006,7,8,88
13842649,Betty Amann,1905,3,10,1990,8,3,85
1079506,Adrienne Ames,1907,8,3,1947,5,31,39
23679466,Ramsay Ames,1919,3,30,1998,3,30,79
14994839,Rosemary Ames,1906,12,11,1988,4,15,81
3953010,Luana Anders,1938,5,12,1996,7,21,58
7596021,Merry Anders,1934,5,22,2012,10,28,78
2095286,Bridgette Andersen,1975,7,11,1997,5,18,21
2890002,Mary Anderson (actress born 1918),1918,4,3,2014,4,6,96
1105013,Lona Andre,1915,3,2,1992,9,18,77
3970700,Lois Andrews,1924,3,24,1968,4,5,44
