pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
6946180,Victor Aaron,1956,9,11,1996,9,4,39
105962,Bud Abbott,1897,10,2,1974,4,24,76
2063681,Philip Abbott,1924,3,21,1998,2,23,73
576437,Walter Abel,1898,6,6,1987,3,26,88
2241891,Rodolfo Acosta,1920,7,29,1974,11,7,54
2260063,Eddie Acuff,1903,6,3,1956,12,17,53
241390,Don Adams,1923,4,13,2005,9,25,82
1810804,Mason Adams,1919,2,26,2005,4,26,86
414565,Nick Adams (actor),1931,7,10,1968,2,7,36
12727268,Ted Adams (actor),1890,3,17,1973,9,24,83
27915269,Victor Adamson,1890,1,4,1972,11,9,82
6079325,Wesley Addy,1913,8,4,1996,12,31,83
1553342,Jay Adler,1896,9,26,1978,9,23,81
1373758,Luther Adler,1903,5,4,1984,12,8,81
11505197,Franklin Adreon,1902,11,18,1979,9,10,76
2395833,John Agar,1921,1,31,2002,4,7,81
24570871,Robert Agnew,1899,6,4,1983,11,8,84
1721035,Philip Ahn,1905,3,29,1978,2,28,72
12651644,Charles Aidman,1925,1,21,1993,11,7,68
12274046,Danny Aiello III,1957,1,27,2010,5,1,53
7238016,Spottiswoode Aitken,1868,4,16,1933,2,26,64
2503762,Claude Akins,1926,5,25,1994,1,27,67
42767819,Rico Alaniz,1919,10,25,2015,3,9,95
3350381,Luis Alberni,1886,10,4,1962,12,23,76
838629,Eddie Albert,1906,4,22,2005,5,26,99
1650635,Edward Albert,1951,2,20,2006,9,22,55
4369873,Coit Albertson,1880,10,14,1953,12,13,73
2376563,Frank Albertson,1909,2,2,1964,2,29,55
68308,Jack Albertson,1907,6,16,1981,11,25,74
5860111,Hardie Albright,1903,12,16,1975,12,7,71
21958513,Chris Alcaide,1922,10,23,2004,6,30,81
31221431,Antony Alda,1956,12,9,2009,7,3,52
1330647,Robert Alda,1914,2,26,1986,5,3,72
3456545,Norman Alden,1924,9,13,2012,7,27,87
2501274,Tom Aldredge,1928,2,28,2011,7,22,83
13013219,Frank Aletter,1926,1,14,2009,5,13,83
414561,Ben Alexander (actor),1911,6,27,1969,7,6,58
1545525,Cris Alexander,1920,1,14,2012,3,7,92
18752599,John Alexander (actor),1897,11,29,1982,7,13,84
10782803,Richard Alexander (actor),1902,11,19,1989,8,9,86
1016813,Ross Alexander,1907,7,27,1937,1,2,29
8375627,William Alland,1916,3,4,1997,11,11,81
20700758,Chet Allen (actor born 1939),1939,5,6,1984,6,17,45
20699854,Chet Allen (actor born 1928),1928,8,17,2011,4,19,82
6352405,Corey Allen,1934,6,29,2010,6,27,75
5038388,Lester Allen,1891,11,17,1949,11,6,57
30158891,Phillip R. Allen,1939,3,26,2012,3,1,72
1102391,Rex Allen,1920,12,31,1999,12,17,78
2027831,Robert Allen (actor),1906,3,28,1998,10,9,92
6149444,Michael Allinson,1920,12,30,2010,12,30,90
14646985,Sheldon Allman,1924,5,8,2002,1,22,77
15452568,Christopher Allport,1947,6,17,2008,1,25,60
5048527,Murray Alper,1904,1,11,1984,11,16,80
6127928,Bobby Alto,1938,10,30,2012,4,28,73
22136652,John Alvin (actor),1917,10,24,2009,2,27,91
1056332,Kirk Alyn,1910,10,8,1999,3,14,88
1273505,Lyle Alzado,1949,4,3,1992,5,14,43
7833,The Amazing Criswell,1907,8,7,1982,10,4,75
520931,Don Ameche,1908,5,31,1993,12,6,85
6249183,Paul America,1944,2,25,1982,10,19,38
620819,Leon Ames,1902,1,20,1993,10,12,91
21040298,Robert Ames (actor),1889,3,23,1931,11,27,42
14429067,Glenn Anders,1889,9,1,1981,10,26,92
4103539,Arthur Anderson (actor),1922,8,29,2016,4,9,93
935134,Broncho Billy Anderson,1880,3,21,1971,1,20,90
