pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
433017,GG Allin,1956,8,29,1993,6,28,36
14646985,Sheldon Allman,1924,5,8,2002,1,22,77
4523557,Sam Andrew,1941,12,18,2015,2,12,73
11160195,West Arkeen,1960,6,18,1997,5,30,36
8300932,Skip Battin,1934,2,18,2003,7,6,69
1001915,Chris Bell (American musician),1951,1,12,1978,12,27,27
2474795,Boyd Bennett,1924,12,7,2002,6,2,77
301179,Richard Berry (musician),1935,4,11,1997,1,23,61
10947451,David Blue (musician),1941,2,18,1982,12,2,41
27655,Sonny Bono,1935,2,16,1998,1,5,62
5222531,Dave Brockie,1963,8,30,2014,3,23,50
237960,Big Bill Broonzy,1893,6,26,1958,8,14,65
8924577,Nappy Brown,1929,10,12,2008,9,20,78
173691,Jeff Buckley,1966,11,17,1997,5,29,30
342865,Tim Buckley,1947,2,14,1975,6,29,28
723359,J. J. Cale,1938,12,5,2013,7,26,74
1289948,Randy California,1951,2,20,1997,1,2,45
1939001,Terry Callier,1945,5,24,2012,10,27,67
15382901,Johnny Carroll,1937,10,23,1995,1,13,57
171050,Harry Chapin,1942,12,7,1981,7,16,38
6589671,Bobby Charles,1938,2,21,2010,1,14,71
147311,Ray Charles,1930,9,23,2004,6,10,73
1472136,Vic Chesnutt,1964,11,12,2009,12,25,45
42650086,Keith Christopher,1957,4,27,1998,2,23,40
846902,Gene Clark,1944,11,17,1991,5,24,46
671637,Guy Clark,1941,11,6,2016,5,17,74
16707,Kurt Cobain,1967,2,20,1994,4,5,27
7141675,Bud Cockrell,1950,3,28,2010,3,6,59
18084380,George M. Cohan,1878,7,3,1942,11,5,64
3101373,Jerry Colonna (entertainer),1904,9,17,1986,11,21,82
166915,Jim Croce,1943,1,10,1973,9,20,30
576282,Andrae Crouch,1942,7,1,2015,1,8,72
237443,Joe Dassin,1938,11,5,1980,8,20,41
15031288,George S. Davis,1906,8,19,1992,11,3,86
58586,John Denver,1943,12,31,1997,10,12,53
5033,Bo Diddley,1928,12,30,2008,6,2,79
328549,Jimmy Driftwood,1907,6,20,1998,7,12,91
394784,Kevin DuBrow,1955,10,29,2007,11,19,52
23507839,Kenny Edwards,1946,2,10,2010,8,18,64
2439841,Richard Farina,1937,3,8,1966,4,30,29
6255309,Doug Fieger,1952,8,21,2010,2,14,57
7128441,Danny Flores,1929,7,11,2006,9,19,77
697523,Kim Fowley,1939,7,21,2015,1,15,75
2836846,Jackson C. Frank,1943,3,2,1999,3,3,56
147995,Marvin Gaye,1939,4,2,1984,4,1,44
