pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
27946971,Jenny Alpha,1910,4,22,2010,9,8,100
8101893,Anicee Alvina,1953,1,28,2006,11,11,53
6732500,Amina Annabi,1962,3,5,1962,3,5,0
11716274,Blanche d'Antigny,1840,5,9,1874,6,30,34
647875,Arletty,1898,5,15,1992,7,24,94
15460790,Michele Arnaud,1919,3,18,1998,3,30,79
1500150,Yvonne Arnaud,1890,12,20,1958,9,20,67
1039397,Jeanne Aubert,1900,2,21,1988,3,6,88
1883314,Frida Boccara,1940,10,29,1996,8,1,55
3785860,Irene Bordoni,1885,1,16,1953,3,19,68
7430347,Coccinelle,1931,8,23,2006,10,9,75
670076,Lili Damita,1904,7,10,1994,3,21,89
8921149,Denise Darcel,1924,9,8,2011,12,23,87
24588306,Josette Dayde,1923,3,28,1995,3,4,71
25500187,Colette Dereal,1927,9,22,1988,4,12,60
562642,Gribouille,1941,7,17,1968,1,18,26
811337,Yvette Guilbert,1865,1,20,1944,2,3,79
481739,Mireille Hartuch,1906,9,30,1996,12,29,90
603949,Anna Held,1872,3,19,1918,8,12,46
15615907,Christiane Legrand,1930,8,11,2011,11,1,81
46431752,Meg Lemonnier,1905,5,15,1998,6,12,93
23394059,Margo Lion (cabaret singer),1899,2,28,1989,2,24,89
41546616,Franca Mai,1959,7,26,2012,2,8,52
24734951,Betty Mars,1944,7,30,1989,2,20,44
4475688,Lizzy Mercier Descloux,1956,12,16,2004,4,20,47
61174,Mistinguett,1875,4,3,1956,1,5,80
40200837,Constance Nantier-Didiee,1831,11,16,1867,12,4,36
5467452,Magali Noel,1931,6,27,2015,6,23,83
24866915,Marjorie Noel,1945,12,25,2000,4,30,54
32507059,Marianne Oswald,1901,1,9,1985,2,25,84
21318444,Patachou,1918,6,10,2015,4,30,96
32003477,Marie-Jacques Perrier,1924,11,22,2012,11,29,88
1013688,Polaire,1874,5,14,1939,10,19,65
29471626,Colette Renard,1924,11,1,2010,10,6,85
3085775,Cheikha Rimitti,1923,5,8,2006,5,15,83
2686939,Francoise Rosay,1891,4,19,1974,3,28,82
14921024,Germaine Sablon,1899,7,19,1985,4,17,85
28275629,Catherine Sauvage,1929,5,26,1998,3,20,68
10488548,Suzy Solidor,1900,12,18,1983,3,30,82
