pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
23987513,Renee Adoree,1898,9,30,1933,10,5,35
47583128,Fernande Albany,1889,12,22,1966,11,25,76
10143504,Jehanne d'Alcy,1865,3,20,1956,10,14,91
8101893,Anicee Alvina,1953,1,28,2006,11,11,53
15926941,Yvette Andreyor,1891,8,6,1962,10,30,71
25598521,Josette Andriot,1886,8,23,1942,5,13,55
2186256,Annabella (actress),1907,7,14,1996,9,18,89
6732500,Amina Annabi,1962,3,5,1962,3,5,0
647875,Arletty,1898,5,15,1992,7,24,94
1500150,Yvonne Arnaud,1890,12,20,1958,9,20,67
35074858,Junie Astor,1911,12,11,1967,8,22,55
1039397,Jeanne Aubert,1900,2,21,1988,3,6,88
11017773,Cecile Aubry,1928,8,3,2010,7,19,81
8694662,Marie-Francoise Audollent,1943,5,22,2008,3,30,64
255083,Josephine Baker,1906,6,3,1975,4,12,68
43853196,Mireille Balin,1909,7,20,1968,11,9,59
21047161,Odette Barencey,1893,8,20,1981,3,4,87
31502632,Nadia Barentin,1936,10,17,2011,3,22,74
17103334,Sylvia Bataille,1908,11,1,1993,12,23,85
15735433,Marie Bell,1900,12,23,1985,8,14,84
38782159,Valerie Benguigui,1961,7,8,2013,9,2,52
51561434,Jeanne Berangere,1864,6,9,1928,11,19,64
44608,Sarah Bernhardt,1844,10,22,1923,3,26,78
42583426,Francoise Bertin,1925,9,23,2014,10,26,89
8269980,Juliet Berto,1947,1,16,1990,1,10,42
481706,Suzanne Bianchetti,1889,2,24,1936,10,17,47
27543578,Francoise Blanchard,1954,6,6,2013,5,29,58
28352521,Lucienne Bogaert,1892,1,6,1983,2,4,91
3785860,Irene Bordoni,1885,1,16,1953,3,19,68
21731148,Nelly Borgeaud,1931,11,29,2004,7,14,72
27353517,Olympe Bradna,1920,8,12,2012,11,5,92
17251287,Yvonne de Bray,1889,5,12,1954,2,1,64
9921608,Colette Brosset,1922,2,21,2007,3,1,85
23314123,Blanchette Brunoy,1915,10,5,2005,4,3,89
5721224,Corinne Calvet,1925,4,30,2001,6,23,76
202830,Capucine,1928,1,6,1990,3,17,62
43713309,Marie Cardinal,1929,3,9,2001,5,9,72
21314333,Christine Carere,1930,7,27,2008,12,13,78
15926905,Renee Carl,1875,6,10,1954,7,31,79
1610694,Martine Carol,1920,5,16,1967,2,6,46
24320321,Pauline Carton,1884,7,4,1974,6,17,89
7456605,Maria Casares,1922,11,21,1996,11,22,74
39622289,Marcelle Chantal,1901,2,9,1960,3,11,59
47666147,Lyne Chardonnet,1943,5,5,1980,12,11,37
2560631,Lilyan Chauvin,1925,8,6,2008,6,26,82
42641098,Micheline Cheirel,1917,4,13,2002,10,25,85
36453816,Tsilla Chelton,1919,6,21,2012,7,15,93
2833263,Jany Clair,1938,9,2,1938,9,2,0
8794643,Vera Clouzot,1913,12,30,1960,12,15,46
14199028,Mathilde Comont,1886,9,9,1938,6,21,51
21031689,Nicole Courcel,1931,10,21,2016,6,25,84
41706106,Suzanne Dalbert,1927,5,12,1970,12,31,43
145584,Dalida,1933,1,17,1987,5,3,54
44249170,Adrienne D'Ambricourt,1878,6,2,1957,12,6,79
670076,Lili Damita,1904,7,10,1994,3,21,89
8921149,Denise Darcel,1924,9,8,2011,12,23,87
21033380,Janine Darcey,1917,1,14,1993,10,1,76
39897993,Colette Darfeuil,1906,2,7,1998,10,15,92
3447017,Bella Darvi,1928,10,23,1971,9,11,42
19190678,Sophie Daumier,1934,11,24,2004,1,1,69
42611675,Micheline Dax,1924,3,3,2014,4,27,90
18702548,Josette Day,1914,7,31,1978,6,27,63
39746500,Marie Dea,1912,5,17,1992,3,1,79
46637043,Suzanne Dehelly,1896,10,1,1968,10,12,72
28968247,Lise Delamare,1913,4,9,2006,7,25,93
2063029,Daniele Delorme,1926,10,9,2015,10,17,89
9368995,Irina Demick,1936,10,16,2004,10,8,67
11298685,Gaby Deslys,1881,11,4,1920,2,11,38
13002511,Rachel Devirys,1890,2,28,1983,5,16,93
46559883,France Dhelia,1894,11,9,1964,5,6,69
17292870,Rose Dione,1875,10,22,1936,1,29,60
3977970,Dora Doll,1922,5,19,2015,11,15,93
2015401,Ghislaine Dommanget,1900,10,13,1991,4,30,90
3812806,Solveig Dommartin,1961,5,16,2007,1,11,45
842175,Francoise Dorleac,1942,3,21,1967,6,26,25
27684515,Therese Dorny,1891,9,18,1976,3,14,84
27290198,Gabrielle Dorziat,1880,1,25,1979,11,30,99
22587671,Jacqueline Doyen,1930,2,14,2006,9,3,76
13331101,Marie Dubois,1937,1,12,2014,10,15,77
26345571,Paulette Dubost,1910,10,8,2011,9,21,100
44570916,Helene Duc,1917,3,17,2014,11,23,97
23304647,Annie Ducaux,1908,9,10,1996,12,31,88
27302488,Marie Epstein,1899,8,14,1995,4,24,95
29830994,Yvette Etievant,1922,12,30,2003,3,17,80
28660002,Christine Fabrega,1931,4,8,1988,6,11,57
19755535,Renee Faure,1918,11,4,2005,5,2,86
2981812,Edwige Feuillere,1907,10,29,1998,11,13,91
15900697,Suzanne Flon,1918,1,28,2005,6,15,87
21967089,Gabrielle Fontan,1873,4,16,1959,9,8,86
25851365,Eve Francis,1886,8,24,1980,12,6,94
18742113,Ginette Garcin,1928,1,4,2010,6,10,82
15290093,Olga Georges-Picot,1940,1,6,1997,6,19,57
6914058,Michele Girardon,1938,8,9,1975,3,25,36
2418448,Annie Girardot,1931,10,25,2011,2,28,79
6010821,Marie Glory,1905,3,3,2009,1,24,103
28421275,Mona Goya,1909,11,25,1961,10,8,51
33092527,Denise Grey,1896,9,17,1996,1,13,99
811337,Yvette Guilbert,1865,1,20,1944,2,3,79
603949,Anna Held,1872,3,19,1918,8,12,46
23158123,Jeanne Herviale,1908,12,24,1989,11,29,80
22995164,Jany Holt,1909,5,13,2005,10,26,96
43275452,Jacqueline Laurent,1918,8,6,2009,12,18,91
304329,Claude Jade,1948,10,8,2006,12,1,58
47727174,Sylvie Joly,1934,10,18,2015,9,4,80
26473640,Catherine Jourdan,1948,10,12,2011,2,18,62
16566921,Odette Joyeux,1914,12,5,2000,8,26,85
1039404,Vera Korene,1901,6,6,1996,11,19,95
47159337,Nathalie Kovanko,1899,9,13,1967,5,23,67
481754,Dominique Laffin,1952,6,3,1985,6,12,33
48705776,Yolande Laffon,1895,8,24,1992,12,15,97
12150497,Bernadette Lafont,1938,10,28,2013,7,25,74
4229591,Pauline Lafont,1963,4,6,1988,8,11,25
1468127,Karen Lancaume,1973,1,19,2005,1,28,32
23865402,Odette Laure,1917,2,28,2004,6,10,87
9154856,Corinne Le Poulain,1948,5,26,2015,2,10,66
7881623,Madeleine Lebeau,1923,6,10,2016,5,1,92
40454394,Yvette Lebon,1910,8,14,2014,7,28,103
18813300,Ginette Leclerc,1912,2,9,1992,1,2,79
39793570,Denise Legeay,1898,1,22,1968,5,27,70
46431752,Meg Lemonnier,1905,5,15,1998,6,12,93
50350810,Jeanne Lion,1877,8,22,1969,10,15,92
23394059,Margo Lion (cabaret singer),1899,2,28,1989,2,24,89
32658510,Natalya Lisenko,1884,8,10,1969,10,7,85
1002133,Sylvia Lopez,1933,11,10,1959,11,20,26
48681085,Jeanne Loury,1896,11,26,1951,7,16,54
16579055,Corinne Luchaire,1921,2,11,1950,1,22,28
41546616,Franca Mai,1959,7,26,2012,2,8,52
37305158,Liliane Maigne,1928,3,1,2004,12,20,76
12987229,Gina Manes,1893,4,7,1989,9,6,96
21033305,Helena Manson,1898,8,18,1994,9,15,96
15351304,Arlette Marchal,1902,1,29,1984,2,11,82
2285897,Colette Marchand,1925,4,29,2015,6,5,90
5059596,Simone Mareuil,1899,8,25,1954,10,24,55
46569017,Jeanne Marie-Laurent,1877,9,1,1964,4,7,86
42642322,Florence Marly,1919,6,2,1978,11,9,59
50031057,Mary Marquet,1895,4,14,1979,8,29,84
44970808,Milly Mathis,1901,9,8,1965,3,30,63
21640296,Nicole Maurey,1925,12,20,2016,3,11,90
41388812,Mado Maurin,1915,9,24,2013,12,8,98
31299978,Marthe Mellot,1870,2,16,1947,8,13,77
51297274,Claude Merelle,1888,5,17,1976,12,16,88
46596428,Arlette Merry,1918,3,18,2015,2,18,96
35137377,Germaine Michel,1892,11,7,1976,1,9,83
46596367,Micheline Francey,1919,10,19,1969,1,1,49
3768049,Madeleine Milhaud,1902,3,22,2008,1,17,105
49729410,Christiane Minazzoli,1931,7,11,2014,11,2,83
