pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
4191234,Alfred Adam,1908,4,4,1982,5,7,74
24112775,Jean-Francois Adam,1938,2,14,1980,10,14,42
12992901,Pierre Alcover,1893,3,14,1957,11,14,64
13003467,Paul Amiot,1886,3,29,1979,1,26,92
50272087,Robert Ancelin,1844,10,22,1923,3,26,78
2575,Andre the Giant,1946,5,19,1993,1,27,46
35153276,Luc Andrieux,1917,2,17,1977,11,26,60
50334664,Lucien Arnaud,1897,8,26,1975,12,11,78
215217,Antonin Artaud,1896,9,4,1948,3,4,51
34287135,Henri Attal,1936,5,13,2003,7,24,67
7912125,Michel Auclair,1922,9,14,1988,1,7,65
408266,Jean-Pierre Aumont,1911,1,5,2001,1,30,90
21033495,Paul Azais,1902,5,6,1974,11,17,72
21238597,Antoine Balpetre,1898,5,3,1963,3,28,64
1075800,Jean-Louis Barrault,1910,9,8,1994,1,22,83
19456401,Yves Barsacq,1931,6,17,2015,10,4,84
2019323,Alain Bashung,1947,12,1,2009,3,14,61
10753363,Harry Baur,1880,4,12,1943,4,8,62
27332656,Edmond Beauchamp,1900,3,3,1985,6,3,85
23723228,Yasmine Belmadi,1976,1,26,2009,7,18,33
9145829,Jacques Bergerac,1927,5,26,2014,6,15,87
497050,Claude Berri,1934,7,1,2009,1,12,74
21047227,Robert Berri,1912,12,16,1989,11,22,76
34230407,Jules Berry,1883,2,9,1951,4,23,68
51364224,Jacques Berthier (actor),1916,2,10,2008,4,6,92
28308460,Pierre Bertin (actor),1891,10,24,1984,5,13,92
40051549,Claude Bertrand (actor),1919,3,24,1986,12,14,67
50337712,Etienne Bierry,1918,10,13,2015,7,4,96
22176536,Maurice Biraud,1922,3,3,1982,12,24,60
21238698,Paul Bisciglia,1928,7,30,2010,4,18,81
14922039,Georges Biscot,1889,9,15,1944,12,18,55
22749836,Gerard Blain,1930,10,23,2000,12,17,70
4533720,Pierre Blaise,1955,6,11,1975,8,31,20
17761410,Gerard Blanc,1947,12,8,2009,1,24,61
21211893,Rene Blancard,1897,3,12,1965,11,5,68
20947895,Pierre Blanchar,1892,6,30,1963,11,21,71
21480338,Charles Blavette,1902,6,24,1967,11,21,65
2138413,Bernard Blier,1916,1,11,1989,3,29,73
2507271,Roger Blin,1907,3,22,1984,1,21,76
47040736,Gilbert Bokanowski,1920,9,17,1975,10,28,55
28274063,Paul Bonifas,1902,6,3,1975,11,9,73
47348435,Jean-Claude Bouillaud,1927,6,7,2008,6,20,81
35080405,Thomy Bourdelle,1891,4,20,1972,6,27,81
452399,Bourvil,1917,7,27,1970,9,23,53
98968,Charles Boyer,1899,8,28,1978,8,26,78
3715525,Marcel Bozzuffi,1928,10,28,1988,2,2,59
15570386,Jean De Briac,1891,8,15,1970,10,18,79
5323673,Jean-Claude Brialy,1933,3,30,2007,5,30,74
1058204,Pierre Brice,1929,2,6,2015,6,6,86
21033194,Jean Brochard,1893,3,12,1972,6,17,79
44536253,Andre Brunot,1879,10,3,1973,8,6,93
18812971,Raymond Bussieres,1907,11,3,1982,4,29,74
13001686,Paul Capellani,1877,11,7,1960,11,7,83
21031174,Julien Carette,1897,12,23,1966,7,20,68
481726,Jean Carmet,1920,4,25,1994,4,20,73
60992,Georges Carpentier,1894,1,12,1975,10,28,81
42274435,Christian Casadesus,1912,12,26,2014,3,6,101
3211634,Jean-Pierre Cassel,1932,10,27,2007,4,19,74
22587754,Philippe Castelli,1926,6,8,2006,4,16,79
