pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
37314948,Frank Alamo,1941,10,12,2012,10,11,70
33933036,Marc Aryan,1926,9,14,1985,9,30,59
1860373,Daniel Balavoine,1952,2,5,1986,1,14,33
2019323,Alain Bashung,1947,12,1,2009,3,14,61
842830,Guy Beart,1930,7,16,2015,9,16,85
392949,Gilbert Becaud,1927,10,24,2001,12,18,74
2919524,Michel Berger,1947,11,28,1992,8,2,44
27875113,Claude Bessy (writer),1945,6,20,1999,10,2,54
17761410,Gerard Blanc,1947,12,8,2009,1,24,61
21491301,Theodore Botrel,1868,9,14,1925,7,28,56
452399,Bourvil,1917,7,27,1970,9,23,53
9124169,Mike Brant,1947,2,1,1975,4,25,28
325202,Georges Brassens,1921,10,22,1981,10,29,60
1058204,Pierre Brice,1929,2,6,2015,6,6,86
15372756,Carlos (singer),1943,2,20,2008,1,17,64
21061160,Jean-Roger Caussimon,1918,7,24,1985,10,19,67
35660513,Eric Charden,1942,10,15,2012,4,29,69
61159,Maurice Chevalier,1888,9,12,1972,1,1,83
267234,Andre Claveau,1911,12,17,2003,7,4,91
2211261,Eddie Constantine,1917,10,29,1993,2,25,75
24864253,Francois Deguelt,1932,12,4,2014,1,22,81
32112549,Michel Delpech,1946,1,26,2016,1,2,69
14445521,Jean-Etienne Despreaux,1748,8,31,1820,3,26,71
849950,Sacha Distel,1933,1,29,2004,7,22,71
51258558,Alexandre Drean,1884,11,12,1977,3,8,92
22746408,Emmanuel Dupaty,1775,7,31,1851,7,31,76
4345743,Jean Ferrat,1930,12,26,2010,3,13,79
455818,Leo Ferre,1916,8,24,1993,7,14,76
42675873,Nino Ferrer,1934,8,15,1998,8,13,63
475603,Claude Francois,1939,2,1,1978,3,11,39
2461503,Michel Fugain,1942,5,12,1942,5,12,0
40609390,Henri Fursy,1866,2,26,1929,4,14,63
1115155,Jean Gabin,1904,5,17,1976,11,15,72
79505,Serge Gainsbourg,1928,4,2,1991,3,2,62
2538573,Henri Genes,1919,7,2,2005,8,22,86
21988456,C. Jerome,1946,12,21,2000,3,14,53
5440186,Boby Lapointe,1922,4,16,1972,6,29,50
1267140,Thierry Le Luron,1952,4,2,1986,11,13,34
24408908,Robert Lelievre,1942,10,1,1973,8,26,30
24861547,Jean-Paul Mauric,1933,6,17,1971,1,5,37
70666,Yves Montand,1921,10,13,1991,11,9,70
2121344,Georges Moustaki,1934,5,3,2013,5,23,79
505799,Claude Nougaro,1929,9,9,2004,3,4,74
851906,Serge Reggiani,1922,5,2,2004,7,23,82
35014913,Gerard Rinaldi,1943,2,17,2012,3,2,69
481738,Jean Sablon,1906,3,25,1994,2,24,87
1028225,Henri Salvador,1917,7,18,2008,2,13,90
4523245,Patrick Topaloff,1944,12,30,2010,3,7,65
313835,Charles Trenet,1913,5,18,2001,2,19,87
82413,Boris Vian,1920,3,10,1959,6,23,39
