pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
35842605,Anny Ahlers,1907,12,21,1933,3,14,25
49668550,Thea Aichbichler,1889,8,21,1957,6,25,67
15277998,Dora Altmann,1881,2,20,1971,12,24,90
13842649,Betty Amann,1905,3,10,1990,8,3,85
40004255,Maria Andergast,1912,6,4,1995,2,14,82
30596100,Lissy Arna,1900,12,20,1964,1,22,63
11541736,Ina Bauer (figure skater),1941,1,31,2014,12,13,73
40004316,Fita Benkhoff,1901,11,1,1967,10,26,65
9570145,Anita Berber,1899,6,10,1928,11,10,29
177827,Elisabeth Bergner,1897,8,22,1986,5,12,88
9427470,Trude Berliner,1903,2,28,1977,2,26,73
22885261,Monica Bleibtreu,1944,5,4,2009,5,13,65
15624315,Cornell Borchers,1925,3,16,2014,5,12,89
31152286,Elga Brink,1895,4,2,1985,10,28,90
39994132,Hanne Brinkmann,1895,9,22,1984,7,29,88
24751326,Heidi Bruhl,1942,1,30,1991,6,8,49
2507892,Olga Chekhova,1897,4,14,1980,3,9,82
28723361,Marieluise Claudius,1912,1,6,1941,8,2,29
28916991,Susanne Cramer,1936,12,3,1969,1,7,32
38255480,Maly Delschaft,1898,12,4,1995,8,20,96
15807968,Tamara Desni,1913,10,22,2008,2,7,94
145325,Marlene Dietrich,1901,12,27,1992,5,6,90
47948007,Marina von Ditmar,1914,10,30,2014,9,3,99
43838633,Barbara Dittus,1939,7,11,2001,6,25,61
3812806,Solveig Dommartin,1961,5,16,2007,1,11,45
35859975,Anita Dorris,1903,12,15,1993,12,24,90
18524545,Kathe Dorsch,1890,12,29,1957,12,25,66
42824070,Berta Drews,1901,11,19,1987,4,10,85
35884037,Lia Eibenschutz,1899,3,19,1985,3,9,85
47608907,Constanze Engelbrecht,1955,1,6,2000,7,21,45
3438427,Wera Engels,1905,5,12,1988,11,16,83
49671610,Elisabeth Epp,1910,1,25,2000,10,29,90
23549906,Selma Ergec,1978,11,1,1978,11,1,0
40008553,Erna Fentsch,1909,4,21,1997,11,26,88
40008580,Heli Finkenzeller,1911,11,17,1991,1,14,79
50688455,Hendrikje Fitz,1961,9,15,2016,4,7,54
44703356,Karen Friesicke,1962,4,11,2015,12,25,53
4596621,Martina Gedeck,1961,9,14,1961,9,14,0
2866181,Dora Gerson,1899,3,23,1943,2,14,43
13631181,Therese Giehse,1898,3,6,1975,3,3,76
40008616,Ursula Grabley,1908,12,8,1977,4,3,68
18500963,Kathe Haack,1897,8,11,1986,5,5,88
3137118,Dolly Haas,1910,4,29,1994,9,16,84
7934211,Evelyn Hamann,1942,8,6,2007,10,28,65
505240,Thea von Harbou,1888,12,27,1954,7,1,65
35951367,Stella Harf,1890,8,12,1979,1,3,88
28306307,Kirsten Heiberg,1907,4,25,1976,3,2,68
40008646,Ruth Hellberg,1906,4,26,2001,4,26,95
310191,Brigitte Helm,1906,3,17,1996,6,11,90
19975929,Ursula Herking,1912,1,28,1974,11,17,62
22075779,Trude Hesterberg,1892,5,2,1967,8,31,75
21007817,Johanna Hofer,1896,7,30,1988,6,30,91
26185944,Carola Hohn,1910,1,30,2005,11,8,95
3632187,Marianne Hold,1933,5,15,1994,9,11,61
35781798,Evelyn Holt,1908,10,3,2001,2,22,92
1631527,Marianne Hoppe,1909,4,26,2002,10,23,93
1995454,Brigitte Horney,1911,3,29,1988,7,27,77
49659564,Karin Hubner,1936,9,16,2006,7,25,69
33084242,Luitgard Im,1930,1,12,1997,2,21,67
39994366,Liesl Karlstadt,1892,12,12,1960,6,27,67
7851471,Charlotte Kerr,1927,5,29,2011,12,28,84
37625,Hildegard Knef,1925,12,28,2002,2,1,76
14367062,Karina Kraushaar,1971,4,9,2015,3,5,43
49713696,Gertrud Kuckelmann,1929,1,3,1979,1,17,50
35933755,Margarete Kupfer,1881,4,10,1953,5,11,72
26210183,Ingeborg von Kusserow,1919,1,28,2014,4,14,95
35971243,Inge Landgut,1922,11,23,1986,5,29,63
18096010,Gretchen Lederer,1891,5,23,1955,12,20,64
49732342,Marga Legal,1908,2,18,2001,10,30,93
19962196,Ruth Leuwerik,1924,4,23,2016,1,12,91
35780856,Olga Limburg,1881,4,5,1970,3,7,88
19890754,Susanne Lothar,1960,11,15,2012,7,21,51
15314085,Clare Lotto,1893,9,23,1952,8,23,58
8964887,Lucie Mannheim,1899,4,30,1976,7,28,77
49130776,Maja Maranow,1961,3,20,2016,1,4,54
46361709,Annie Markart,1907,8,5,1991,1,23,83
17366783,Hanna Maron,1923,11,22,2014,5,30,90
803442,Inge Meysel,1910,5,30,2004,7,10,94
24317577,Erna Morena,1885,4,24,1962,7,20,77
6852180,Grete Mosheim,1905,1,8,1986,12,29,81
984958,Renate Muller,1906,4,24,1937,10,7,31
19620342,Carola Neher,1900,11,2,1942,6,26,41
36510194,Loni Nest,1915,8,4,1990,10,2,75
59536,Nico,1938,10,16,1988,7,18,49
35884090,Ruth Niehaus,1925,7,11,1994,9,24,69
20024327,Christiane Nielsen,1936,9,10,2007,4,8,70
8967915,Maria Orska,1893,3,16,1930,5,16,37
16216296,Ossi Oswalda,1899,2,2,1948,1,1,48
15430511,Anna von Palen,1875,5,26,1939,1,27,63
1466792,Lilli Palmer,1914,5,24,1986,1,27,71
15428794,Lee Parry,1901,1,14,1977,1,24,76
35981729,Hedwig Pauly-Winterstein,1866,10,16,1965,8,22,98
1694074,Ingrid Pitt,1937,11,21,2010,11,23,73
32473970,Witta Pohl,1937,11,11,2011,4,4,73
24311839,Henny Porten,1890,1,7,1960,10,15,70
47582849,Rosa Porten,1884,2,18,1972,5,7,88
180908,Luise Rainer,1910,1,12,2014,12,30,104
32045124,Hanna Ralph,1888,3,25,1978,3,25,90
42870991,Lotte Rausch,1913,5,24,1995,7,31,82
5433047,Hedwiga Reicher,1884,6,12,1971,9,2,87
35879958,Grete Reinwald,1902,5,24,1983,5,24,81
3613681,Ursula Reit,1914,3,5,1998,11,9,84
17562,Leni Riefenstahl,1902,8,22,2003,9,8,101
668556,Marika Rokk,1913,11,3,2004,5,16,90
25513387,Tatjana Sais,1910,1,28,1981,2,26,71
2053675,Helma Sanders-Brahms,1940,11,20,2014,5,27,73
7449662,Rahel Sanzara,1894,2,9,1936,2,8,41
17997957,Christiane Schmidtmer,1939,12,24,2003,3,13,63
2706033,Sybille Schmitz,1909,12,2,1955,4,13,45
22236664,Magda Schneider,1909,5,17,1996,7,30,87
154224,Romy Schneider,1938,9,23,1982,5,29,43
32037902,Margarete Schon,1895,4,7,1985,12,26,90
12064630,Fanny Schreck,1877,1,1,1951,12,11,74
32015046,Hannelore Schroth,1922,1,10,1987,7,7,65
22075832,Edith Schultze-Westrum,1904,12,30,1981,3,20,76
3385440,Petra Schurmann,1933,9,15,2010,1,14,76
25596819,Adelheid Seeck,1912,11,3,1973,2,17,60
28887766,Erna Sellmer,1905,6,19,1983,5,13,77
39546803,Dagny Servaes,1894,3,10,1961,7,10,67
47203920,Sabine Sesselmann,1936,8,13,1998,3,1,61
21860879,Sabine Sinjen,1942,8,18,1995,5,18,52
48338032,Brigitte Skay,1940,7,18,2012,11,19,72
1284112,Kristina Soderbaum,1912,9,5,2001,2,12,88
20037598,Camilla Spira,1906,3,1,1997,8,25,91
35977786,Lotte Stein,1894,1,12,1982,9,20,88
28808184,Ruth Stephan,1925,10,27,1975,8,8,49
3215069,Ilse Steppat,1917,11,30,1969,12,21,52
35781912,Hermine Sterler,1894,3,20,1982,5,25,88
28874642,Agnes Straub,1890,4,2,1941,7,8,51
19933012,Charlotte Susa,1898,3,1,1976,7,28,78
42871003,Gerda Maria Terno,1909,7,10,1995,7,31,86
2521494,Hertha Thiele,1908,5,8,1984,8,5,76
7437258,Ursula Thiess,1924,5,15,2010,6,19,86
19976001,Alice Treff,1906,6,4,2003,2,8,96
20040182,Margot Trooger,1923,6,2,1994,4,24,70
31859655,Elsa Wagner,1881,1,24,1975,8,17,94
24317464,Hertha von Walther,1903,6,12,1987,4,12,83
31479682,Antje Weisgerber,1922,5,17,2004,9,28,82
32574248,Dorrit Weixler,1892,3,27,1916,11,30,24
20785906,Gertrude Welcker,1896,7,16,1988,8,1,92
2416288,Ilse Werner,1921,7,11,2005,8,8,84
24317350,Ruth Weyher,1901,5,28,1983,1,27,81
49668955,Renate Wilson,1930,4,20,2008,12,7,78
19989361,Agnes Windeck,1888,3,27,1975,9,28,87
49659630,Emmy Wyda,1876,3,2,1942,1,22,65
35939968,Manny Ziener,1887,10,5,1972,5,4,84
1877086,Vera Zorina,1917,1,2,2003,4,9,86
