pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
14362727,Alfred Abel,1879,3,12,1937,12,12,58
8721464,Werner Abrolat,1924,8,15,1997,8,24,73
35952769,Fritz Achterberg,1880,12,2,1971,10,12,90
40000413,Wolf Ackva,1911,7,30,2000,1,16,88
19625277,Max Adalbert,1874,2,19,1933,9,7,59
5040845,Louis Adlon,1907,10,7,1947,3,31,39
1175222,Hans Albers,1891,9,22,1960,7,24,68
28991047,Fritz Alberti,1877,10,22,1954,9,15,76
34999604,Georg Alexander,1888,4,3,1945,10,30,57
35975917,Ferdinand von Alten,1885,4,13,1933,3,17,47
28827962,Axel von Ambesser,1910,6,22,1988,9,6,78
9974078,Arno Assmann,1908,7,30,1979,11,30,71
24330845,Carl Auen,1892,2,16,1972,6,23,80
22947990,Balduin Baas,1922,6,9,2006,5,22,83
13222919,Dirk Bach,1961,4,23,2012,10,1,51
40000442,Gunther Ballier,1900,10,18,1980,4,20,79
19975862,Ewald Balser,1898,10,5,1978,4,17,79
7575541,Albert Bassermann,1867,9,7,1952,3,15,84
26484773,Gustl Bayrhammer,1922,2,12,1993,4,24,71
2365324,Albrecht Becker,1906,11,14,2002,4,22,95
40000536,Paul Beckers,1878,11,1,1965,4,27,86
20927166,Peter Behrens (musician),1947,9,4,2016,5,11,68
3440764,Heinz Bennent,1921,7,18,2011,10,12,90
22981789,Martin Benrath,1926,11,9,2000,1,31,73
25557373,Ludwig Berger (director),1892,1,6,1969,5,18,77
20003395,Albert Bessler,1905,2,15,1975,12,4,70
25744457,Ulrich Bettac,1897,5,2,1959,4,20,61
31505900,Leopold Biberti,1894,9,18,1969,11,24,75
35932567,Rudolf Biebrach,1866,11,24,1938,9,5,71
37992362,Erwin Biegel,1896,3,25,1954,5,24,58
35860201,Paul Biensfeldt,1869,3,4,1933,4,2,64
19962301,Paul Bildt,1890,7,27,1967,11,25,77
20848532,Herman Bing,1889,3,30,1947,1,9,57
10929544,Willy Birgel,1891,9,19,1973,12,29,82
40000574,Horst Birr,1912,2,17,1943,10,8,31
2868601,Roy Black (singer),1943,1,25,1991,10,9,48
19394615,Hans Christian Blech,1915,2,20,1993,3,5,78
28286809,Walter Bockmayer,1948,7,4,2014,10,7,66
1694300,Karlheinz Bohm,1928,3,16,2014,5,29,86
29581853,Marquard Bohm,1941,6,27,2006,2,3,64
27452395,Herbert A.E. Bohme,1897,9,7,1984,6,29,86
4939008,Curt Bois,1901,4,5,1991,12,25,90
41550728,Wilhelm Borchert (actor),1907,3,13,1990,6,1,83
19989069,Dieter Borsche,1909,10,25,1982,8,5,72
35997530,Gustav Botz,1883,8,4,1932,9,29,49
24311666,Hans Brausewetter,1899,5,27,1945,4,29,45
28888023,Beppo Brem,1906,3,11,1990,9,5,84
6221719,Felix Bressart,1892,3,2,1949,3,17,57
28878620,Louis Brody,1892,2,15,1952,2,11,59
192115,Horst Buchholz,1933,12,4,2003,3,3,69
46427840,Bully Buhlan,1924,2,3,1982,11,7,58
23764450,Traugott Buhre,1929,6,21,2009,7,26,80
198685,Vicco von Bulow,1923,11,12,2011,8,22,87
15277695,Peter Capell,1912,9,3,1986,3,3,73
22075987,Peter Carsten,1928,4,30,2012,4,20,83
18036071,Erik Charell,1894,4,8,1974,7,15,80
3393222,Hans Clarin,1929,9,14,2005,8,28,75
24319228,Claus Clausen (actor),1899,8,15,1989,11,25,90
40000611,Volker von Collande,1913,11,21,1990,10,29,76
19668611,Paul Dahlke (actor),1904,4,12,1984,11,23,80
35892837,Gerhard Dammann,1883,3,30,1946,2,21,62
40000641,Karl Dannemann,1896,3,22,1945,5,4,49
1902003,Max Davidson,1875,5,23,1950,9,4,75
35932490,Bruno Decarli,1877,3,15,1950,3,31,73
35997609,Fritz Delius (actor),1890,9,28,1966,9,20,75
2961884,Ernst Deutsch,1890,9,16,1969,3,22,78
35912409,Wilhelm Diegelmann,1861,9,28,1934,3,1,72
21969084,Karl Ludwig Diehl,1896,8,14,1958,3,8,61
1481623,William Dieterle,1893,7,15,1972,12,9,79
29041283,Fritz Diez,1901,2,27,1979,10,19,78
2196087,Anton Diffring,1916,10,20,1989,5,19,72
29470163,Werner Dissel,1912,8,26,2003,1,22,90
28874399,Will Dohm,1897,4,8,1948,11,28,51
19962464,Friedrich Domin,1902,5,15,1961,12,18,59
19989893,Heinz Drache,1923,2,9,2002,4,3,79
19948537,Erich Dunskus,1890,7,27,1967,11,25,77
28827641,Josef Eichheim,1888,2,23,1945,11,13,57
19988832,Alexander Engel,1902,6,4,1968,7,25,66
2922129,Heinz Erhardt,1909,2,20,1979,6,5,70
24318190,Karl Etlinger,1879,10,16,1946,5,8,66
8919926,Peter van Eyck,1911,7,16,1969,7,15,57
15630245,Erwin Faber,1891,7,21,1989,5,4,97
24330779,Julius Falkenstein,1879,2,25,1933,12,9,54
81586,Rainer Werner Fassbinder,1945,5,31,1982,6,10,37
1298713,Fritz Feld,1900,10,15,1993,11,18,93
25907726,Hansjorg Felmy,1931,1,31,2007,8,24,76
40002644,Wei Ferdl,1883,6,28,1949,6,19,65
19962717,Rudolf Fernau,1898,1,7,1985,11,4,87
34086401,Hans Finohr,1891,9,5,1966,11,8,75
49668762,Adolf Fischer (actor),1900,11,18,1984,10,21,83
11594136,Helmut Fischer,1926,11,15,1997,6,14,70
33951292,Albert Florath,1886,3,10,1957,3,11,71
21131287,Walter Franck,1896,4,16,1961,8,10,65
19290238,Horst Frank,1929,5,28,1999,5,25,69
49677412,Erich Franz,1903,11,5,1961,2,10,57
23852488,Arno Frey,1900,10,11,1961,6,26,60
35891058,Gerd Frickhoffer,1913,11,21,1980,7,4,66
7137463,Willy Fritsch,1901,1,27,1973,7,13,72
313518,Gert Frobe,1913,2,25,1988,9,5,75
6959643,Gustav Frohlich,1902,3,21,1987,12,22,85
45679027,Jurgen Frohriep,1928,4,28,1993,7,13,65
4202657,Joachim Fuchsberger,1927,3,11,2014,9,11,87
20037959,Ernst Fritz Furbringer,1900,7,27,1988,10,30,88
42681903,Norbert Gastell,1929,10,15,2015,11,26,86
18515065,Otto Gebuhr,1877,5,29,1954,3,14,76
1629297,Gotz George,1938,7,23,2016,6,19,77
1983653,Heinrich George,1893,10,9,1946,9,25,52
1361315,Kurt Gerron,1897,5,11,1944,10,28,47
11031814,Erwin Geschonneck,1906,12,27,2008,3,12,101
27827446,Frank Giering,1971,11,23,2010,6,23,38
26349756,Harry Giese,1903,3,2,1991,1,20,87
29487562,Horst Giese,1926,1,31,2008,12,29,82
8804696,Walter Giller,1927,8,23,2011,12,15,84
29626684,Vadim Glowna,1941,9,26,2012,1,24,70
21008046,Friedrich Gna,1892,11,13,1958,5,8,65
28807073,Boy Gobert,1925,6,5,1986,5,30,60
36026548,Fred Goebel,1891,4,3,1964,5,16,73
19083734,Curt Goetz,1888,11,17,1960,9,12,71
14416492,Bernhard Goetzke,1884,6,5,1964,10,7,80
35029777,Alexander Golling,1905,8,2,1989,2,26,83
47287922,Christian Gollong,1901,6,24,1988,7,27,87
1144697,Walter Gotell,1924,3,15,1997,5,5,73
12067601,John Gottowt,1881,6,15,1942,8,29,61
31278776,Paul Graetz,1889,8,4,1937,2,16,47
1039995,Alexander Granach,1893,4,18,1945,3,14,51
36005989,Ernst Gronau,1887,8,21,1938,8,10,50
23012675,Wolfgang Gronebaum,1927,3,14,1998,3,16,71
49659459,Walter Gross (actor),1904,2,5,1989,5,17,85
